title,type,question,A,B,C,D,answer,image
F4 Chp 2,radio,Kedah_Q03,A,B,C,D,B,Kedah/Picture3.png
F4 Chp 2,radio,Kelantan_Q03,A,B,C,D,B,Kelantan/Picture3.png
F4 Chp 2,radio,NegeriSembilan_Q03,A,B,C,D,C,Negeri Sembilan/Picture3.png
F4 Chp 2,radio,Perak_Q03,A,B,C,D,B,Perak/Picture3.png
F4 Chp 2,radio,Perlis_Q03,A,B,C,D,C,Perlis/Picture3.png
F4 Chp 2,radio,JohorSet_Q04,A,B,C,D,C,Johor Set 1/Picture4.png
F4 Chp 2,radio,JohorSet_Q04,A,B,C,D,A,Johor Set 2/Picture4.png
F4 Chp 2,radio,Kedah_Q04,A,B,C,D,C,Kedah/Picture4.png
F4 Chp 2,radio,NegeriSembilan_Q04,A,B,C,D,D,Negeri Sembilan/Picture4.png
F4 Chp 2,radio,Perak_Q04,A,B,C,D,D,Perak/Picture4.png
F4 Chp 2,radio,Selangor_Q04,A,B,C,D,C,Selangor/Picture4.png
F4 Chp 2,radio,Terengganu_Q04,A,B,C,D,C,Terengganu/Picture4.png
F4 Chp 2,radio,JohorSet_Q05,A,B,C,D,B,Johor Set 1/Picture5.png
F4 Chp 2,radio,JohorSet_Q05,A,B,C,D,A,Johor Set 2/Picture5.png
F4 Chp 2,radio,KelantanYik_Q05,A,B,C,D,B,Kelantan YIK/Picture5.png
F4 Chp 2,radio,Pahang_Q05,A,B,C,D,B,Pahang/Picture5.png
F4 Chp 2,radio,Selangor_Q05,A,B,C,D,C,Selangor/Picture5.png
F4 Chp 2,radio,Terengganu_Q05,A,B,C,D,B,Terengganu/Picture5.png
F4 Chp 2,radio,Pahang_Q06,A,B,C,D,B,Pahang/Picture6.png
F4 Chp 2,radio,Pahang_Q07,A,B,C,D,A,Pahang/Picture7.png
