title,type,question,A,B,C,D,answer,image
F4 Chp 7,radio,Kelantan_Q11,A,B,C,D,C,Kelantan/Picture11.png
F4 Chp 7,radio,Kelantan_Q12,A,B,C,D,B,Kelantan/Picture12.png
F4 Chp 7,radio,Selangor_Q12,A,B,C,D,C,Selangor/Picture12.png
F4 Chp 7,radio,JohorSet_Q13,A,B,C,D,B,Johor Set 1/Picture13.png
F4 Chp 7,radio,JohorSet_Q13,A,B,C,D,C,Johor Set 2/Picture13.png
F4 Chp 7,radio,Perlis_Q13,A,B,C,D,D,Perlis/Picture13.png
F4 Chp 7,radio,Selangor_Q13,A,B,C,D,A,Selangor/Picture13.png
F4 Chp 7,radio,Terengganu_Q13,A,B,C,D,D,Terengganu/Picture13.png
F4 Chp 7,radio,JohorSet_Q14,A,B,C,D,C,Johor Set 1/Picture14.png
F4 Chp 7,radio,JohorSet_Q14,A,B,C,D,C,Johor Set 2/Picture14.png
F4 Chp 7,radio,Kedah_Q14,A,B,C,D,C,Kedah/Picture14.png
F4 Chp 7,radio,Perak_Q14,A,B,C,D,D,Perak/Picture14.png
F4 Chp 7,radio,Terengganu_Q14,A,B,C,D,C,Terengganu/Picture14.png
F4 Chp 7,radio,Kedah_Q15,A,B,C,D,B,Kedah/Picture15.png
F4 Chp 7,radio,KelantanYik_Q15,A,B,C,D,D,Kelantan YIK/Picture15.png
F4 Chp 7,radio,Terengganu_Q15,A,B,C,D,B,Terengganu/Picture15.png
F4 Chp 7,radio,KelantanYik_Q16,A,B,C,D,B,Kelantan YIK/Picture16.png
F4 Chp 7,radio,NegeriSembilan_Q16,A,B,C,D,D,Negeri Sembilan/Picture16.png
F4 Chp 7,radio,KelantanYik_Q17,A,B,C,D,C,Kelantan YIK/Picture17.png
F4 Chp 7,radio,KelantanYik_Q18,A,B,C,D,A,Kelantan YIK/Picture18.png
F4 Chp 7,radio,Pahang_Q18,A,B,C,D,C,Pahang/Picture18.png
F4 Chp 7,radio,Pahang_Q19,A,B,C,D,D,Pahang/Picture19.png
F4 Chp 7,radio,Perak_Q38,A,B,C,D,A,Perak/Picture38.png
F4 Chp 7,radio,Perak_Q39,A,B,C,D,D,Perak/Picture39.png
F4 Chp 7,radio,Perak_Q40,A,B,C,D,B,Perak/Picture40.png
