title,type,question,A,B,C,D,answer,image
Pahang F5,radio,F5 Bab 1,A,B,C,D,C,Picture25.png
,radio,F5 Bab 2,A,B,C,D,C,Picture26.png
,radio,F5 Bab 2,A,B,C,D,C,Picture27.png
,radio,F5 Bab 3,A,B,C,D,D,Picture28.png
,radio,F5 Bab 3,A,B,C,D,D,Picture29.png
,radio,F5 Bab 3,A,B,C,D,A,Picture30.png
,radio,F5 Bab 4,A,B,C,D,A,Picture31.png
,radio,F5 Bab 4,A,B,C,D,B,Picture32.png
,radio,F5 Bab 4,A,B,C,D,D,Picture33.png
,radio,F5 Bab 5,A,B,C,D,D,Picture34.png
,radio,F5 Bab 5,A,B,C,D,C,Picture35.png
,radio,F5 Bab 6,A,B,C,D,D,Picture36.png
,radio,F5 Bab 6,A,B,C,D,C,Picture37.png
,radio,F5 Bab 7,A,B,C,D,B,Picture38.png
,radio,F5 Bab 7,A,B,C,D,C,Picture39.png
,radio,F5 Bab 7,A,B,C,D,D,Picture40.png
