title,type,question,A,B,C,D,answer,image
Perak F5,radio,F5 Bab 1,A,B,C,D,B,Picture22.png
,radio,F5 Bab 1,A,B,C,D,C,Picture23.png
,radio,F5 Bab 2,A,B,C,D,A,Picture24.png
,radio,F5 Bab 2,A,B,C,D,A,Picture25.png
,radio,F5 Bab 2,A,B,C,D,D,Picture26.png
,radio,F5 Bab 3,A,B,C,D,C,Picture27.png
,radio,F5 Bab 3,A,B,C,D,A,Picture28.png
,radio,F5 Bab 4,A,B,C,D,C,Picture29.png
,radio,F5 Bab 4,A,B,C,D,B,Picture30.png
,radio,F5 Bab 4,A,B,C,D,A,Picture31.png
,radio,F5 Bab 4,A,B,C,D,D,Picture32.png
,radio,F5 Bab 5,A,B,C,D,D,Picture33.png
,radio,F5 Bab 5,A,B,C,D,C,Picture34.png
,radio,F5 Bab 6,A,B,C,D,B,Picture35.png
,radio,F5 Bab 6,A,B,C,D,B,Picture36.png
,radio,F5 Bab 6,A,B,C,D,C,Picture37.png
,radio,F5 Bab 7,A,B,C,D,A,Picture38.png
,radio,F5 Bab 7,A,B,C,D,D,Picture39.png
,radio,F5 Bab 7,A,B,C,D,B,Picture40.png
