title,type,question,A,B,C,D,answer,image
Selangor F5,radio,F5 Bab 1,A,B,C,D,D,Picture22.png
,radio,F5 Bab 2,A,B,C,D,C,Picture23.png
,radio,F5 Bab 2,A,B,C,D,B,Picture24.png
,radio,F5 Bab 3,A,B,C,D,B,Picture25.png
,radio,F5 Bab 3,A,B,C,D,C,Picture26.png
,radio,F5 Bab 3,A,B,C,D,B,Picture27.png
,radio,F5 Bab 4,A,B,C,D,C,Picture28.png
,radio,F5 Bab 4,A,B,C,D,B,Picture29.png
,radio,F5 Bab 4,A,B,C,D,B,Picture30.png
,radio,F5 Bab 4,A,B,C,D,C,Picture31.png
,radio,F5 Bab 5,A,B,C,D,C,Picture32.png
,radio,F5 Bab 5,A,B,C,D,C,Picture33.png
,radio,F5 Bab 5,A,B,C,D,A,Picture34.png
,radio,F5 Bab 6,A,B,C,D,D,Picture35.png
,radio,F5 Bab 6,A,B,C,D,A,Picture36.png
,radio,F5 Bab 6,A,B,C,D,B,Picture37.png
,radio,F5 Bab 6,A,B,C,D,D,Picture38.png
,radio,F5 Bab 7,A,B,C,D,C,Picture39.png
,radio,F5 Bab 7,A,B,C,D,A,Picture40.png
